,cluster_id,Amount
4514,944406,18
4522,945220,10
4546,950691,18
4564,954300,11
4593,961858,10
4640,973211,12
4643,973612,11
4644,973707,14
4646,974481,9
4701,986849,9
4714,991038,12
4746,998602,16
4775,1004137,12
4783,1006344,10
4850,1022014,11
4861,1023504,9
4871,1025070,9
4896,1030185,9
4922,1036157,15
4924,1036418,29
4931,1038385,12
5008,1055018,13
5042,1063839,26
5057,1066583,19
5062,1067266,14
5110,1077191,9
5152,1086463,39
5191,1095106,11
5225,1104109,9
5273,1116086,12
5416,1143749,15
5458,1151318,12
5500,1160442,10
5522,1164520,12
5531,1167881,15
5568,1178013,15
5597,1184840,12
5613,1187638,17
5621,1188311,14
5634,1190832,21
5659,1198229,10
5786,1228080,10
5806,1231257,13
5847,1241795,12
5871,1249086,13
5872,1249101,9
5906,1258802,10
5956,1268944,11
6059,1290229,11
6140,1313346,13
6156,1315657,9
6184,1321456,13
6254,1338417,10
6353,1360484,9
6396,1369144,12
6399,1369520,9
6483,1387244,10
6506,1391684,23
6528,1395212,9
6537,1397185,9
6550,1399786,10
6555,1400944,10
6565,1403095,14
6639,1420419,13
6690,1432891,11
6746,1444821,10
6794,1454074,18
6826,1460556,16
6856,1467318,48
6881,1471327,10
6935,1484945,9
6954,1488425,26
6992,1496342,17
7018,1503223,10
7039,1508334,16
7040,1508649,12
7056,1512681,15
7115,1524820,95
7142,1530776,10
7204,1544678,43
7223,1548647,9
7224,1548650,10
7364,1581598,11
7368,1582673,11
7395,1589191,14
7402,1590445,10
7413,1592417,17
7414,1592761,11
7430,1597037,11
7449,1601750,18
7496,1613324,9
7596,1636734,9
7608,1637922,11
7623,1641015,12
7635,1643325,9
7757,1668903,9
7769,1671210,9
7829,1687308,12
7957,1718111,10
7974,1721126,10
8158,1765562,73
8168,1768249,12
8208,1776451,13
8241,1784229,10
8255,1786867,14
8262,1788338,9
8309,1799315,13
8353,1808456,12
8367,1812180,12
8418,1824032,12
8540,1852022,11
8616,1871237,9
8704,1896902,9
8786,1916084,12
8813,1923218,11
8848,1930913,12
8961,1956729,12
9022,1968498,13
9028,1969537,10
9038,1970366,14
9083,1984095,11
9152,1999127,9
9292,2030777,17
9311,2034568,9
9377,2049035,11
9423,2059319,10
9466,2069732,15
9634,2107019,13
9672,2114069,16
9746,2132296,61
9819,2150270,12
9968,2182630,9
10064,2202568,139
10204,2229944,9
10208,2230711,9
10316,2256670,9
10384,2273086,10
10396,2275487,11
10424,2283251,10
10561,2316298,10
10657,2338576,11
10853,2383819,12
10859,2385296,16
10898,2395583,16
10995,2420173,14
11019,2426123,11
11052,2434654,46
11162,2459966,12
11183,2464591,17
11199,2468757,10
11209,2472326,34
11307,2497811,12
11346,2507564,9
11545,2557362,10
11595,2569090,9
11770,2614520,18
11827,2628369,20
11938,2651567,9
11953,2655622,12
12037,2677304,11
12153,2699889,10
12168,2702997,17
12293,2732926,14
12363,2751377,13
12604,2811941,13
12613,2814552,9
12650,2822117,13
12665,2825229,24
12741,2843033,39
12807,2858602,12
12869,2872198,9
12964,2895864,125
13084,2929687,13
13097,2932667,9
13098,2932709,12
13100,2933691,110
13111,2935817,12
13134,2944225,16
13148,2945908,12
13175,2951290,14
13198,2955119,10
13262,2971074,11
13314,2984230,10
13354,2995504,9
13446,3015048,22
13884,3124626,13
14193,3196849,20
14350,3230617,10
14415,3246128,14
14430,3249785,16
14638,3303281,9
14718,3324035,40
14731,3327024,11
14745,3330122,10
15194,3439747,9
15503,3507223,10
15616,3527082,9
15855,3590318,12
15869,3592944,13
16056,3639602,9
16117,3655014,9
16147,3661619,10
16306,3699595,14
16798,3826688,14
16801,3827287,10
16847,3837842,9
17377,3968351,9
17627,4027788,9
17649,4033834,11
17837,4083611,9
18701,4300675,9
18721,4306760,11
18947,4367571,11
18970,4371886,10
19278,4443010,10
19419,4480677,9
19661,4539863,10
20135,4662198,9
20192,4676796,16
20244,4688111,9
20869,4853737,9
20886,4858786,10
21029,4896004,12
21086,4908193,13
21267,4952830,10
21957,5121322,2600
22571,5288543,9
22688,5313953,31
22736,5329323,10
24053,5672069,289
24345,5748293,9
24500,5789828,13
24713,5841558,10
25174,5959011,9
26591,6334214,10
26633,6347648,9
26733,6371670,10
26954,6427150,11
27333,6526595,12
27426,6558756,14
29253,7254678,9
31145,8280952,17
33871,9483391,10
39773,12483606,10
40017,12651417,17
40054,12669914,10
42694,14124253,9
48597,17020190,12
51210,18440534,9
54133,19937926,10
58966,22374911,16
58967,22374915,16
58968,22374917,17
58969,22374918,16
59732,22653830,10
60604,23221103,25
61681,23909752,9
66833,26097914,12
73125,28994180,9
73290,29114661,9
79881,32444304,9
84251,34506106,15
84768,34830795,10
89401,37455178,10
90726,38031538,9
92308,38841117,10
92310,38841122,10
96617,40996374,9
96812,41106907,10
99178,42521438,9
102797,44159446,16
110633,48051979,17
112074,48777368,12
114823,50265298,9
115862,50849594,14
119071,52690073,9
125211,54925916,11
129164,57031692,9
130293,57829305,15
130497,57968795,14
130738,58083280,24
130929,58156726,9
131724,58580260,9
131745,58591075,11
131754,58592784,19
137952,61196332,9
139111,61805363,9
140460,62580326,9
143820,64536333,10
145245,65378814,10
145409,65475235,11
146038,65774760,10
147708,66437123,9
148561,66830768,10
149095,67140274,10
152589,68554513,13
154488,69262919,10
155923,70221349,10
157988,71460439,10
160534,72098789,9
161870,72814786,9
162410,73167045,9
162434,73181401,9
163438,73685759,9
164929,74540573,9
168204,76307383,9
168207,76307780,9
169522,77104640,10
170854,77602818,16
171766,78110534,13
172281,78404139,10
172417,78499693,16
172783,78736275,9
175479,80330359,14
