,cluster_id,Amount
81317,55515086,57
81318,55515206,52
81462,55655126,45
81463,55655206,44
83446,57370701,63
85505,58897472,43
85525,58912934,51
85526,58912954,46
86898,59845599,27
89157,61604040,69
89819,62035721,18
90788,62715247,50
91302,63025237,55
91303,63025251,53
92995,64269499,52
93013,64286017,58
93232,64468223,17
94732,65676094,60
95660,66276948,56
95661,66277366,57
96181,66614987,55
96256,66666310,61
100118,69987107,54
100395,70100210,61
103823,72784310,71
103926,72848323,79
104452,73288709,64
108494,76643198,33
108803,76869259,43
108804,76869317,60
110646,78260404,80
112351,79512161,16
112994,80097153,60
112995,80097161,37
