index	prediction
443	20
444	25
445	50
446	50
447	20
448	130
449	68
450	115
451	153
452	91
453	147
454	132
455	16
456	108
457	134
458	64
459	37
460	136
461	34
462	38
463	34
464	175
465	91
466	25
467	52
468	52
469	91
470	25
471	91
472	136
473	147
474	34
475	16
476	177
477	87
478	110
479	191
480	131
481	5
482	190
483	78
484	127
485	147
486	122
487	16
488	127
489	137
490	173
491	160
492	160
493	55
494	195
495	17
496	172
497	136
498	147
499	34
500	15
501	127
502	177
503	134
504	64
505	37
506	136
507	147
508	16
509	122
510	108
511	175
512	128
513	25
514	11
515	57
516	99
517	38
518	137
519	173
520	174
521	160
522	46
523	195
524	172
525	136
526	147
527	34
528	200
529	175
530	137
531	173
532	34
533	174
534	172
535	160
536	46
537	58
538	195
539	170
540	171
541	16
542	137
543	143
544	46
545	188
546	136
547	147
548	34
549	16
550	200
551	132
552	68
553	115
554	153
555	137
556	173
557	27
558	172
559	160
560	195
561	170
562	171
563	15
564	112
565	143
566	132
567	147
568	34
569	16
570	40
571	134
572	64
573	130
574	68
575	115
576	153
577	132
578	37
579	55
580	52
581	132
582	37
583	132
584	130
585	153
586	55
587	52
588	130
589	153
590	130
591	136
592	34
593	38
594	34
595	175
596	134
597	64
598	34
599	30
600	83
601	71
602	59
603	2
604	136
605	147
606	34
607	16
608	127
609	136
610	147
611	34
612	127
613	127
614	136
615	147
616	122
617	12
618	34
619	177
620	136
621	147
622	16
623	177
624	108
625	126
626	136
627	147
628	34
629	147
630	175
631	136
632	147
633	34
634	16
635	127
636	84
637	136
638	147
639	34
640	127
641	127
642	110
643	83
644	38
645	132
646	182
647	136
648	147
649	34
650	34
651	40
652	119
653	136
654	147
655	136
656	164
657	136
658	137
659	173
660	27
661	174
662	172
663	58
664	195
665	170
666	171
667	17
668	137
669	130
670	68
671	115
672	153
673	137
674	173
675	27
676	172
677	160
678	46
679	58
680	170
681	171
682	137
683	173
684	27
685	98
686	46
687	46
688	17
689	112
690	136
691	147
692	38
693	127
694	136
695	136
696	147
697	34
698	16
699	108
700	136
701	147
702	34
703	16
704	127
705	38
706	177
707	134
708	64
709	37
710	30
711	83
712	71
713	59
714	2
715	91
716	37
717	52
718	52
719	91
720	37
721	91
722	136
723	147
724	122
725	122
726	200
727	85
728	55
729	136
730	147
731	16
732	177
733	108
734	126
735	136
736	147
737	34
738	16
739	177
740	87
741	137
742	173
743	174
744	172
745	17
746	136
747	147
748	34
749	38
750	58
751	136
752	147
753	168
754	127
755	40
756	94
757	137
758	173
759	174
760	160
761	46
762	195
763	172
764	136
765	147
766	122
767	127
768	127
769	91
770	191
771	15
772	66
773	43
774	91
775	134
776	64
777	37
778	136
779	147
780	38
781	200
782	52
783	60
784	60
785	94
786	137
787	173
788	34
789	174
790	172
791	160
792	195
793	58
794	195
795	170
796	171
797	17
798	137
799	143
800	120
801	105
802	136
803	147
804	122
805	38
806	122
807	86
808	132
809	4
810	164
811	80
812	135
813	68
814	115
815	24
816	130
817	68
818	183
819	135
820	5
821	190
822	79
823	164
824	136
825	147
826	34
827	16
828	127
829	130
830	68
831	115
832	153
833	130
834	68
835	115
836	153
837	139
838	34
839	166
840	25
841	183
842	182
843	100
844	136
845	147
846	122
847	127
848	34
849	136
850	147
851	153
852	16
853	127
854	177
855	136
856	147
857	27
858	108
859	127
860	136
861	147
862	34
863	16
864	127
865	134
866	64
867	37
868	134
869	64
870	37
871	134
872	64
873	34
874	136
875	147
876	34
877	127
878	108
879	85
880	136
881	147
882	38
883	136
884	38
885	130
886	136
887	161
888	162
889	157
890	115
891	197
892	182
893	136
894	147
895	34
896	136
897	34
898	136
899	147
900	34
901	127
902	96
903	132
904	5
905	193
906	66
907	181
908	136
909	147
910	34
911	38
912	108
913	136
914	25
915	55
916	52
917	167
918	102
919	136
920	147
921	161
922	162
923	30
924	83
925	71
926	59
927	2
928	117
929	167
930	52
931	52
932	117
933	167
934	117
935	130
936	68
937	115
938	27
939	134
940	64
941	37
942	136
943	147
944	34
945	38
946	85
947	130
948	34
949	16
950	173
951	177
952	119
953	129
954	37
955	52
956	52
957	129
958	167
959	129
960	136
961	147
962	34
963	38
964	200
965	85
966	134
967	64
968	37
969	137
970	173
971	37
972	174
973	98
974	46
975	46
976	58
977	195
978	170
979	171
980	17
981	112
982	143
983	120
984	105
985	188
986	136
987	147
988	34
989	127
990	127
991	132
992	5
993	34
994	156
995	187
996	127
997	5
998	128
999	104
1000	166
1001	54
1002	141
1003	33
1004	130
1005	68
1006	115
1007	153
1008	25
1009	122
1010	55
1011	55
1012	25
1013	122
1014	25
1015	134
1016	64
1017	37
1018	30
1019	74
1020	93
1021	140
1022	199
1023	95
1024	113
1025	121
1026	136
1027	147
1028	136
1029	16
1030	127
1031	34
1032	108
1033	127
1034	200
1035	175
1036	174
1037	94
1038	60
1039	156
1040	136
1041	147
1042	25
1043	16
1044	200
1045	84
1046	136
1047	147
1048	37
1049	16
1050	177
1051	136
1052	147
1053	16
1054	177
1055	108
1056	126
1057	136
1058	147
1059	34
1060	127
1061	38
1062	132
1063	132
1064	134
1065	64
1066	110
1067	83
1068	71
1069	70
1070	136
1071	5
1072	164
1073	15
1074	148
1075	136
1076	147
1077	161
1078	194
1079	130
1080	68
1081	115
1082	115
1083	136
1084	147
1085	38
1086	200
1087	175
1088	3
1089	137
1090	173
1091	34
1092	174
1093	136
1094	195
1095	136
1096	147
1097	34
1098	16
1099	108
1100	130
1101	27
1102	55
1103	52
1104	130
1105	27
1106	130
1107	133
1108	64
1109	37
1110	136
1111	147
1112	34
1113	16
1114	127
1115	136
1116	147
1117	42
1118	137
1119	173
1120	27
1121	174
1122	172
1123	160
1124	46
1125	58
1126	46
1127	120
1128	120
1129	136
1130	147
1131	38
1132	108
1133	127
1134	136
1135	147
1136	34
1137	127
1138	34
1139	126
1140	175
1141	40
1142	30
1143	74
1144	93
1145	140
1146	199
1147	95
1148	113
1149	121
1150	129
1151	153
1152	55
1153	52
1154	129
1155	153
1156	129
1157	136
1158	147
1159	34
1160	127
1161	38
1162	130
1163	68
1164	115
1165	117
1166	175
1167	175
1168	167
1169	117
1170	91
1171	16
1172	7
1173	79
1174	130
1175	68
1176	115
1177	153
1178	134
1179	64
1180	37
1181	135
1182	68
1183	115
1184	110
1185	67
1186	136
1187	147
1188	27
1189	177
1190	85
1191	136
1192	147
1193	34
1194	16
1195	54
1196	30
1197	83
1198	71
1199	59
1200	2
1201	137
1202	173
1203	27
1204	172
1205	160
1206	46
1207	58
1208	195
1209	170
1210	171
1211	112
1212	136
1213	147
1214	34
1215	14
1216	176
1217	136
1218	147
1219	71
1220	122
1221	126
1222	6
1223	31
1224	136
1225	147
1226	34
1227	16
1228	127
1229	177
1230	136
1231	147
1232	34
1233	132
1234	34
1235	108
1236	106
1237	30
1238	74
1239	93
1240	140
1241	199
1242	95
1243	113
1244	121
1245	136
1246	147
1247	34
1248	127
1249	38
1250	136
1251	106
1252	34
1253	16
1254	107
1255	136
1256	147
1257	34
1258	16
1259	127
1260	136
1261	153
1262	52
1263	52
1264	167
1265	117
1266	22
1267	130
1268	68
1269	115
1270	153
1271	136
1272	25
1273	52
1274	52
1275	25
1276	102
1277	34
1278	5
1279	104
1280	79
1281	164
1282	106
1283	148
1284	43
1285	134
1286	64
1287	37
1288	130
1289	68
1290	115
1291	136
1292	147
1293	34
1294	108
1295	85
1296	132
1297	4
1298	190
1299	79
1300	66
1301	43
1302	136
1303	147
1304	34
1305	107
1306	84
1307	136
1308	147
1309	70
1310	38
1311	175
1312	136
1313	147
1314	34
1315	16
1316	127
1317	134
1318	64
1319	37
1320	136
1321	147
1322	27
1323	16
1324	127
1325	19
1326	177
1327	135
1328	175
1329	175
1330	41
1331	136
1332	147
1333	34
1334	16
1335	127
1336	38
1337	177
1338	136
1339	147
1340	34
1341	16
1342	177
1343	84
1344	136
1345	147
1346	153
1347	86
1348	86
1349	136
1350	147
1351	34
1352	16
1353	127
1354	38
1355	177
1356	130
1357	68
1358	115
1359	136
1360	147
1361	34
1362	16
1363	127
1364	38
1365	177
1366	136
1367	147
1368	34
1369	127
1370	34
1371	126
1372	175
1373	40
1374	132
1375	5
1376	190
1377	79
1378	164
1379	14
1380	177
1381	137
1382	173
1383	25
1384	174
1385	172
1386	160
1387	46
1388	58
1389	195
1390	170
1391	171
1392	137
1393	143
1394	120
1395	105
1396	137
1397	173
1398	27
1399	172
1400	58
1401	120
1402	105
1403	114
1404	167
1405	52
1406	52
1407	114
1408	167
1409	114
1410	137
1411	173
1412	27
1413	174
1414	172
1415	160
1416	46
1417	58
1418	195
1419	170
1420	171
1421	17
1422	137
1423	143
1424	120
1425	105
1426	188
1427	91
1428	167
1429	52
1430	52
1431	140
1432	117
1433	22
1434	136
1435	147
1436	16
1437	177
1438	108
1439	126
1440	137
1441	173
1442	25
1443	174
1444	172
1445	160
1446	195
1447	58
1448	195
1449	170
1450	171
1451	16
1452	112
1453	143
1454	120
1455	105
1456	91
1457	167
1458	52
1459	52
1460	167
1461	117
1462	22
1463	136
1464	147
1465	161
1466	185
1467	136
1468	136
1469	161
1470	162
1471	136
1472	147
1473	168
1474	34
1475	84
1476	136
1477	147
1478	34
1479	38
1480	127
1481	136
1482	147
1483	27
1484	16
1485	87
1486	87
1487	136
1488	147
1489	34
1490	200
1491	52
1492	38
1493	64
1494	27
1495	130
1496	68
1497	115
1498	136
1499	58
1500	58
1501	41
1502	136
1503	147
1504	27
1505	12
1506	85
1507	136
1508	147
1509	34
1510	34
1511	84
1512	91
1513	64
1514	38
1515	147
1516	34
1517	108
1518	126
1519	136
1520	147
1521	161
1522	185
1523	74
1524	190
1525	5
1526	134
1527	64
1528	37
1529	136
1530	147
1531	34
1532	127
1533	108
1534	136
1535	147
1536	34
1537	136
1538	200
1539	175
1540	156
1541	94
1542	156
1543	134
1544	64
1545	37
1546	134
1547	64
1548	37
1549	136
1550	147
1551	34
1552	84
1553	108
1554	91
1555	25
1556	52
1557	52
1558	34
1559	102
1560	136
1561	147
1562	130
1563	127
1564	200
1565	110
1566	83
1567	71
1568	2
1569	191
1570	136
1571	147
1572	34
1573	16
1574	127
1575	136
1576	147
1577	34
1578	84
1579	108
1580	136
1581	106
1582	161
1583	35
1584	136
1585	147
1586	34
1587	108
1588	106
1589	137
1590	173
1591	172
1592	160
1593	195
1594	195
1595	137
1596	173
1597	49
1598	174
1599	160
1600	160
1601	55
1602	195
1603	172
1604	172
1605	91
1606	147
1607	34
1608	18
1609	200
1610	85
1611	58
1612	156
1613	156
1614	156
1615	136
1616	147
1617	37
1618	16
1619	127
1620	108
1621	182
1622	30
1623	83
1624	71
1625	74
1626	140
1627	136
1628	147
1629	34
1630	200
1631	85
1632	136
1633	147
1634	16
1635	177
1636	108
1637	126
1638	131
1639	5
1640	192
1641	80
1642	136
1643	147
1644	177
1645	200
1646	85
1647	136
1648	147
1649	34
1650	127
1651	108
1652	136
1653	147
1654	122
1655	127
1656	122
1657	91
1658	153
1659	52
1660	52
1661	91
1662	167
1663	91
1664	117
1665	25
1666	52
1667	52
1668	117
1669	25
1670	117
1671	136
1672	147
1673	34
1674	127
1675	127
1676	136
1677	147
1678	34
1679	16
1680	38
1681	177
1682	85
1683	138
1684	5
1685	190
1686	90
1687	149
1688	136
1689	147
1690	34
1691	127
1692	34
1693	126
1694	175
1695	40
1696	134
1697	64
1698	37
1699	136
1700	147
1701	16
1702	177
1703	108
1704	126
1705	136
1706	147
1707	136
1708	16
1709	177
1710	136
1711	147
1712	34
1713	38
1714	108
1715	136
1716	34
1717	34
1718	126
1719	175
1720	40
1721	136
1722	147
1723	34
1724	127
1725	40
1726	130
1727	52
1728	52
1729	167
1730	117
1731	136
1732	147
1733	34
1734	200
1735	106
1736	134
1737	64
1738	196
1739	137
1740	173
1741	157
1742	174
1743	172
1744	160
1745	46
1746	175
1747	195
1748	17
1749	143
1750	120
1751	105
1752	110
1753	30
1754	74
1755	93
1756	199
1757	134
1758	64
1759	37
1760	110
1761	5
1762	11
1763	89
1764	134
1765	64
1766	37
1767	130
1768	68
1769	115
1770	153
1771	136
1772	147
1773	34
1774	16
1775	177
1776	127
1777	136
1778	147
1779	34
1780	177
1781	161
1782	162
1783	134
1784	64
1785	37
1786	134
1787	64
1788	37
1789	130
1790	68
1791	115
1792	153
1793	136
1794	147
1795	34
1796	38
1797	40
1798	30
1799	74
1800	93
1801	140
1802	199
1803	95
1804	113
1805	121
1806	130
1807	52
1808	115
1809	70
1810	130
1811	68
1812	115
1813	153
1814	130
1815	68
1816	115
1817	153
1818	136
1819	147
1820	34
1821	16
1822	127
1823	130
1824	68
1825	115
1826	153
1827	137
1828	173
1829	55
1830	17
1831	172
1832	136
1833	147
1834	34
1835	16
1836	127
1837	38
1838	177
1839	136
1840	161
1841	185
1842	136
1843	147
1844	34
1845	38
1846	200
1847	58
1848	132
1849	8
1850	79
1851	66
1852	148
1853	6
1854	114
1855	8
1856	192
1857	184
1858	78
1859	126
1860	61
1861	147
1862	34
1863	16
1864	127
1865	177
1866	137
1867	173
1868	153
1869	174
1870	172
1871	160
1872	195
1873	58
1874	195
1875	170
1876	17
1877	130
1878	68
1879	115
1880	25
1881	91
1882	25
1883	52
1884	52
1885	91
1886	130
1887	68
1888	115
1889	153
1890	136
1891	147
1892	34
1893	34
1894	119
1895	136
1896	147
1897	37
1898	127
1899	38
1900	129
1901	64
1902	37
1903	136
1904	147
1905	34
1906	16
1907	127
1908	38
1909	108
1910	137
1911	173
1912	34
1913	174
1914	172
1915	160
1916	46
1917	52
1918	46
1919	170
1920	143
1921	129
1922	167
1923	55
1924	55
1925	129
1926	167
1927	129
1928	137
1929	173
1930	27
1931	52
1932	17
1933	172
1934	136
1935	147
1936	34
1937	34
1938	119
1939	136
1940	147
1941	34
1942	38
1943	85
1944	135
1945	79
1946	190
1947	136
1948	147
1949	34
1950	16
1951	127
1952	130
1953	147
1954	157
1955	85
1956	40
1957	123
1958	131
1959	4
1960	14
1961	137
1962	173
1963	25
1964	174
1965	172
1966	160
1967	46
1968	58
1969	195
1970	170
1971	171
1972	17
1973	112
1974	143
1975	136
1976	22
1977	161
1978	185
1979	136
1980	147
1981	25
1982	16
1983	169
1984	130
1985	68
1986	115
1987	153
1988	136
1989	147
1990	34
1991	16
1992	127
1993	38
1994	177
1995	136
1996	147
1997	34
1998	127
1999	108
2000	91
2001	25
2002	58
2003	58
2004	167
2005	102
2006	130
2007	68
2008	153
2009	130
2010	68
2011	115
2012	153
2013	91
2014	167
2015	55
2016	55
2017	91
2018	167
2019	91
2020	130
2021	68
2022	153
2023	153
2024	136
2025	147
2026	34
2027	127
2028	122
2029	126
2030	40
2031	136
2032	34
2033	34
2034	126
2035	165
2036	175
2037	40
2038	136
2039	147
2040	16
2041	177
2042	108
2043	126
2044	136
2045	147
2046	34
2047	200
2048	85
2049	52
2050	130
2051	68
2052	115
2053	153
2054	137
2055	173
2056	167
2057	174
2058	172
2059	160
2060	46
2061	58
2062	195
2063	170
2064	171
2065	112
2066	143
2067	160
2068	188
2069	134
2070	64
2071	37
2072	134
2073	64
2074	37
2075	132
2076	5
2077	9
2078	10
2079	187
2080	193
2081	39
2082	136
2083	147
2084	38
2085	127
2086	61
2087	200
2088	58
2089	60
2090	60
2091	3
2092	60
2093	107
2094	136
2095	146
2096	34
2097	17
2098	177
2099	126
2100	117
2101	25
2102	58
2103	58
2104	117
2105	25
2106	117
2107	136
2108	147
2109	167
2110	127
2111	177
2112	136
2113	147
2114	16
2115	177
2116	108
2117	126
2118	34
2119	5
2120	192
2121	164
2122	16
2123	127
2124	147
2125	34
2126	16
2127	127
2128	177
2129	137
2130	173
2131	27
2132	174
2133	172
2134	160
2135	46
2136	58
2137	195
2138	170
2139	171
2140	17
2141	112
2142	143
2143	195
2144	136
2145	34
2146	175
2147	175
2148	136
2149	58
2150	136
2151	147
2152	34
2153	38
2154	34
2155	96
2156	136
2157	147
2158	34
2159	16
2160	127
2161	38
2162	177
2163	136
2164	147
2165	34
2166	127
2167	34
2168	126
2169	175
2170	40
2171	136
2172	147
2173	132
2174	177
2175	161
2176	162
2177	134
2178	64
2179	37
2180	136
2181	147
2182	34
2183	127
2184	122
2185	126
2186	40
2187	136
2188	147
2189	34
2190	127
2191	122
2192	126
2193	40
2194	134
2195	64
2196	37
2197	130
2198	68
2199	115
2200	153
2201	40
2202	147
2203	167
2204	16
2205	127
2206	136
2207	147
2208	34
2209	16
2210	127
2211	136
2212	147
2213	34
2214	16
2215	127
2216	177
2217	136
2218	147
2219	127
2220	34
2221	85
2222	130
2223	68
2224	153
2225	153
2226	136
2227	147
2228	16
2229	177
2230	108
2231	126
2232	136
2233	147
2234	34
2235	126
2236	108
2237	85
2238	136
2239	6
2240	81
2241	136
2242	147
2243	34
2244	16
2245	127
2246	38
2247	177
2248	136
2249	147
2250	136
2251	16
2252	127
2253	91
2254	36
2255	16
2256	40
2257	162
2258	136
2259	147
2260	34
2261	16
2262	127
2263	108
2264	136
2265	147
2266	34
2267	127
2268	38
2269	134
2270	64
2271	37
2272	136
2273	147
2274	34
2275	127
2276	38
2277	137
2278	173
2279	27
2280	174
2281	160
2282	46
2283	46
2284	170
2285	143
2286	172
2287	130
2288	68
2289	115
2290	153
2291	136
2292	147
2293	122
2294	127
2295	122
2296	136
2297	147
2298	34
2299	136
2300	88
2301	136
2302	147
2303	34
2304	16
2305	127
2306	38
2307	130
2308	68
2309	153
2310	124
2311	136
2312	147
2313	34
2314	16
2315	127
2316	20
2317	25
2318	50
2319	50
2320	20
2321	130
2322	68
2323	153
2324	153
2325	136
2326	147
2327	161
2328	194
2329	136
2330	147
2331	34
2332	127
2333	177
2334	135
2335	68
2336	115
2337	153
2338	136
2339	147
2340	34
2341	127
2342	34
2343	126
2344	175
2345	40
2346	136
2347	147
2348	132
2349	52
2350	60
2351	60
2352	94
2353	131
2354	4
2355	64
2356	136
2357	147
2358	34
2359	16
2360	136
2361	177
2362	117
2363	27
2364	55
2365	52
2366	117
2367	27
2368	117
2369	131
2370	187
2371	79
2372	117
2373	25
2374	55
2375	55
2376	117
2377	25
2378	117
2379	130
2380	68
2381	183
2382	153
2383	30
2384	74
2385	93
2386	140
2387	199
2388	95
2389	113
2390	121
2391	136
2392	147
2393	34
2394	38
2395	108
2396	85
2397	85
2398	136
2399	134
2400	64
2401	34
2402	136
2403	147
2404	34
2405	127
2406	108
2407	134
2408	64
2409	157
2410	136
2411	147
2412	111
2413	108
2414	130
2415	136
2416	147
2417	34
2418	16
2419	127
2420	34
2421	126
2422	134
2423	64
2424	167
2425	130
2426	68
2427	115
2428	153
2429	136
2430	147
2431	16
2432	108
2433	200
2434	134
2435	64
2436	27
2437	136
2438	147
2439	34
2440	16
2441	177
2442	34
2443	119
2444	114
2445	147
2446	114
2447	16
2448	136
2449	30
2450	83
2451	71
2452	59
2453	2
2454	136
2455	147
2456	87
2457	16
2458	87
2459	177
2460	87
2461	127
2462	147
2463	122
2464	38
2465	122
2466	108
2467	85
2468	136
2469	147
2470	34
2471	127
2472	96
2473	134
2474	64
2475	37
2476	136
2477	147
2478	179
2479	169
2480	29
2481	0
2482	136
2483	147
2484	122
2485	38
2486	86
2487	25
2488	58
2489	58
2490	34
2491	102
2492	130
2493	68
2494	115
2495	115
2496	130
2497	68
2498	115
2499	134
2500	64
2501	37
2502	136
2503	147
2504	34
2505	16
2506	177
2507	84
2508	20
2509	25
2510	50
2511	50
2512	20
2513	137
2514	173
2515	27
2516	174
2517	172
2518	160
2519	158
2520	58
2521	195
2522	17
2523	120
2524	120
2525	178
2526	136
2527	147
2528	47
2529	38
2530	85
2531	136
2532	147
2533	111
2534	17
2535	127
2536	177
2537	130
2538	68
2539	115
2540	182
2541	130
2542	68
2543	115
2544	153
2545	134
2546	64
2547	37
2548	130
2549	68
2550	115
2551	153
2552	190
2553	67
2554	190
2555	67
2556	136
2557	147
2558	34
2559	38
2560	85
2561	130
2562	68
2563	115
2564	153
2565	134
2566	36
2567	38
2568	147
2569	126
2570	38
2571	108
2572	136
2573	5
2574	164
2575	79
2576	150
2577	134
2578	64
2579	37
2580	130
2581	68
2582	115
2583	153
2584	136
2585	147
2586	34
2587	16
2588	177
2589	127
2590	136
2591	147
2592	34
2593	38
2594	40
2595	83
2596	71
2597	2
2598	74
2599	136
2600	147
2601	34
2602	16
2603	127
2604	177
2605	134
2606	64
2607	167
2608	134
2609	64
2610	168
2611	136
2612	147
2613	34
2614	16
2615	191
2616	83
2617	147
2618	38
2619	175
2620	34
2621	117
2622	167
2623	55
2624	55
2625	117
2626	167
2627	117
2628	136
2629	147
2630	34
2631	87
2632	34
2633	136
2634	147
2635	38
2636	16
2637	127
2638	134
2639	64
2640	37
2641	134
2642	64
2643	37
2644	137
2645	173
2646	27
2647	174
2648	172
2649	46
2650	46
2651	50
2652	195
2653	112
2654	143
2655	50
2656	137
2657	110
2658	182
2659	136
2660	147
2661	34
2662	16
2663	127
2664	177
2665	130
2666	68
2667	115
2668	115
2669	130
2670	68
2671	115
2672	153
2673	110
2674	191
2675	67
2676	117
2677	72
2678	136
2679	147
2680	34
2681	127
2682	34
2683	108
2684	136
2685	147
2686	34
2687	87
2688	34
2689	136
2690	130
2691	68
2692	115
2693	153
2694	137
2695	173
2696	27
2697	174
2698	172
2699	160
2700	46
2701	58
2702	195
2703	170
2704	120
2705	105
2706	91
2707	25
2708	55
2709	52
2710	37
2711	102
2712	128
2713	147
2714	166
2715	16
2716	166
2717	136
2718	147
2719	34
2720	38
2721	108
2722	147
2723	147
2724	34
2725	122
2726	127
2727	136
2728	147
2729	34
2730	16
2731	127
2732	136
2733	147
2734	122
2735	38
2736	122
2737	96
2738	134
2739	64
2740	91
2741	52
2742	52
2743	179
2744	134
2745	64
2746	34
2747	136
2748	147
2749	34
2750	16
2751	127
2752	136
2753	147
2754	34
2755	16
2756	127
2757	91
2758	167
2759	175
2760	52
2761	167
2762	125
2763	91
2764	134
2765	64
2766	37
2767	130
2768	68
2769	115
2770	27
2771	30
2772	83
2773	71
2774	59
2775	2
2776	136
2777	147
2778	34
2779	16
2780	127
2781	136
2782	147
2783	34
2784	16
2785	177
2786	119
2787	136
2788	147
2789	34
2790	34
2791	119
2792	137
2793	173
2794	37
2795	174
2796	172
2797	160
2798	46
2799	58
2800	195
2801	170
2802	171
2803	17
2804	137
2805	143
2806	195
2807	130
2808	68
2809	153
2810	115
2811	130
2812	68
2813	115
2814	153
2815	136
2816	147
2817	127
2818	38
2819	34
2820	200
2821	58
2822	94
2823	94
2824	94
2825	130
2826	68
2827	115
2828	153
2829	110
2830	190
2831	171
2832	190
2833	5
2834	136
2835	147
2836	34
2837	127
2838	122
2839	126
2840	40
2841	131
2842	4
2843	161
2844	164
2845	91
2846	175
2847	175
2848	41
2849	135
2850	80
2851	126
2852	134
2853	64
2854	34
2855	136
2856	147
2857	34
2858	16
2859	127
2860	91
2861	147
2862	166
2863	16
2864	88
2865	136
2866	147
2867	34
2868	127
2869	34
2870	126
2871	175
2872	40
2873	30
2874	74
2875	31
2876	30
2877	83
2878	71
2879	59
2880	2
2881	136
2882	147
2883	34
2884	127
2885	40
2886	136
2887	147
2888	34
2889	16
2890	127
2891	34
2892	136
2893	136
2894	147
2895	16
2896	177
2897	108
2898	126
2899	27
2900	58
2901	112
2902	58
2903	34
2904	173
2905	139
2906	154
2907	134
2908	64
2909	37
2910	30
2911	83
2912	71
2913	59
2914	2
2915	97
2916	4
2917	190
2918	122
2919	153
2920	136
2921	147
2922	34
2923	127
2924	108
2925	136
2926	147
2927	34
2928	16
2929	177
2930	136
2931	147
2932	16
2933	177
2934	119
2935	137
2936	173
2937	27
2938	174
2939	46
2940	46
2941	195
2942	98
2943	134
2944	64
2945	37
2946	136
2947	147
2948	127
2949	16
2950	85
2951	177
2952	132
2953	25
2954	55
2955	55
2956	34
2957	102
2958	91
2959	147
2960	34
2961	16
2962	127
2963	38
2964	177
2965	136
2966	147
2967	16
2968	38
2969	177
2970	137
2971	173
2972	27
2973	172
2974	170
2975	137
2976	137
2977	173
2978	34
2979	174
2980	172
2981	160
2982	46
2983	58
2984	195
2985	170
2986	171
2987	17
2988	112
2989	120
2990	120
2991	136
2992	106
2993	108
2994	136
2995	147
2996	122
